date;vac_statut;age;nb_PCR;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;effectif J-7
2021-05-31;Ensemble;[60,79];58536;1230;137;96;53;39;13957936
2021-05-31;Ensemble;"[80;+]";19114;403;72;51;6;2;4132668
2021-06-01;Ensemble;[40,59];53773;2101;132;87;39;29;17386935
2021-06-02;Ensemble;[20,39];68125;2521;60;49;12;8;15805698
2021-06-02;Ensemble;[40,59];55826;1888;103;72;24;20;17386935
2021-06-02;Ensemble;[60,79];40128;751;130;100;38;31;13957936
2021-06-03;Ensemble;[40,59];58726;1779;81;52;28;23;17386935
2021-06-03;Ensemble;"[80;+]";14046;260;58;41;3;2;4132668
2021-06-04;Ensemble;[20,39];83568;2295;46;37;8;5;15805698
2021-06-05;Ensemble;[40,59];36329;981;68;54;25;18;17386935
2021-06-05;Ensemble;"[80;+]";9393;157;41;29;5;3;4132668
2021-06-06;Ensemble;[0,19];4354;155;9;5;2;0;16124004
2021-06-07;Ensemble;[40,59];64833;2047;96;66;26;23;17386935
2021-06-07;Ensemble;[60,79];57290;848;89;61;37;33;13957936
2021-06-08;Ensemble;[20,39];59204;1660;43;39;11;7;15805698
2021-06-09;Ensemble;[0,19];34929;1037;8;4;1;0;16124004
2021-06-09;Ensemble;[20,39];63108;1480;44;33;4;2;15805698
2021-06-09;Ensemble;[60,79];36124;481;76;58;22;16;13957936
2021-06-10;Ensemble;[0,19];39166;969;10;6;1;1;16124004
2021-06-10;Ensemble;[20,39];74017;1367;33;23;4;3;15805698
2021-06-10;Ensemble;[60,79];33354;445;71;43;32;23;13957936
2021-06-11;Ensemble;[40,59];60336;1108;81;58;22;16;17386935
2021-06-11;Ensemble;[60,79];44746;492;76;49;20;15;13957936
2021-06-12;Ensemble;[60,79];29177;236;61;40;26;21;13957936
2021-06-13;Ensemble;[0,19];3537;88;8;5;1;0;16124004
2021-06-14;Ensemble;[0,19];34422;865;3;2;0;0;16124004
2021-06-14;Ensemble;[20,39];65472;1405;42;31;5;4;15805698
2021-06-15;Ensemble;[20,39];53276;1100;24;18;5;4;15805698
2021-06-16;Ensemble;[20,39];61258;959;28;19;7;3;15805698
2021-06-16;Ensemble;[40,59];47710;709;46;36;12;10;17386935
2021-06-17;Ensemble;[60,79];31698;299;54;32;21;15;13957936
2021-06-18;Ensemble;[60,79];46065;361;45;26;14;9;13957936
2021-06-18;Ensemble;"[80;+]";12992;125;26;16;1;1;4132668
2021-06-19;Ensemble;[0,19];16804;309;9;4;1;1;16124004
2021-06-20;Ensemble;[20,39];11654;139;21;15;0;0;15805698
2021-06-20;Ensemble;[60,79];7626;71;28;20;9;5;13957936
2021-06-21;Ensemble;[0,19];31295;556;10;6;0;0;16124004
2021-06-22;Ensemble;[20,39];51066;713;22;19;4;4;15805698
