date;vac_statut;age;nb_PCR;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;effectif J-7
2021-05-31;Non-vaccinés;"[80;+]";8890;243;50;37;4;1;994015
2021-06-02;Non-vaccinés;[0,19];44786;1762;8;4;1;1;15892522
2021-06-03;Non-vaccinés;[0,19];48729;1638;10;7;1;1;15876374
2021-06-04;Non-vaccinés;[0,19];58659;1835;15;7;1;0;15860447
2021-06-05;Non-vaccinés;[0,19];22170;877;10;6;0;0;15844429
2021-06-05;Non-vaccinés;[20,39];32432;1082;35;27;7;5;12104674
2021-06-06;Non-vaccinés;[60,79];4048;119;38;25;20;18;3454599
2021-06-07;Non-vaccinés;[0,19];45297;1672;15;12;1;1;15821252
2021-06-07;Non-vaccinés;[20,39];53654;2263;49;38;2;2;11907805
2021-06-08;Non-vaccinés;[40,59];32340;1089;63;50;17;13;8987574
2021-06-08;Non-vaccinés;[60,79];20715;403;66;49;31;24;3363222
2021-06-09;Non-vaccinés;[0,19];33731;1022;8;4;1;0;15779880
2021-06-09;Non-vaccinés;"[80;+]";6411;110;33;24;3;1;940326
2021-06-10;Non-vaccinés;[0,19];37767;955;10;6;1;1;15757941
2021-06-12;Non-vaccinés;[0,19];15921;506;8;4;2;2;15715362
2021-06-12;Non-vaccinés;[40,59];20735;458;41;30;17;15;8335264
2021-06-12;Non-vaccinés;"[80;+]";4197;62;23;16;1;1;920641
2021-06-14;Non-vaccinés;[0,19];33183;850;3;2;0;0;15686547
2021-06-14;Non-vaccinés;[40,59];35426;973;58;41;16;12;8165446
2021-06-14;Non-vaccinés;[60,79];26282;390;46;34;14;9;3159503
2021-06-15;Non-vaccinés;[40,59];27283;639;44;33;15;10;8022119
2021-06-15;Non-vaccinés;[60,79];19219;281;49;39;11;8;3116722
2021-06-15;Non-vaccinés;"[80;+]";6542;101;24;17;1;1;909249
2021-06-16;Non-vaccinés;[20,39];42311;835;28;19;7;3;10475972
2021-06-18;Non-vaccinés;[20,39];55464;830;24;12;4;3;10129206
2021-06-18;Non-vaccinés;[60,79];23921;266;35;19;11;7;2995630
2021-06-18;Non-vaccinés;"[80;+]";5898;81;20;12;1;1;889641
2021-06-19;Non-vaccinés;[20,39];28749;426;23;18;1;1;9997807
2021-06-19;Non-vaccinés;[60,79];13917;117;22;16;14;13;2976431
2021-06-20;Non-vaccinés;[20,39];8498;122;19;13;0;0;9943133
2021-06-20;Non-vaccinés;[40,59];5174;90;26;21;5;5;7450298
2021-06-21;Non-vaccinés;[0,19];29459;542;10;6;0;0;15546129
2021-06-21;Non-vaccinés;[60,79];24748;260;21;14;16;11;2948108
2021-06-22;Non-vaccinés;[0,19];26242;426;12;7;1;1;15498683
2021-06-22;Non-vaccinés;[20,39];35505;610;21;18;4;4;9708404
